1000,000	0,000
1100,000	0,000
1200,000	0,000
1300,000	0,000
1400,000	0,000
1500,000	0,000
1600,000	2,600
1700,000	18,560
1800,000	35,880
1900,000	42,800
2000,000	45,120
2100,000	53,520
2200,000	49,120
2300,000	40,840
2400,000	42,960
2500,000	45,000
2600,000	53,800
2700,000	71,800
2800,000	99,160
2900,000	158,640
3000,000	289,480
3100,000	498,520
3200,000	778,840
3300,000	992,440
3400,000	1067,400
3500,000	1071,800
3600,000	1043,920
3700,000	1065,640
3800,000	826,920
3900,000	780,700
4000,000	51,760
