1000,000	1,160
1100,000	0,120
1200,000	0,120
1300,000	0,080
1400,000	0,080
1500,000	0,200
1600,000	4,000
1700,000	20,720
1800,000	33,160
1900,000	40,720
2000,000	44,440
2100,000	46,320
2200,000	42,040
2300,000	34,040
2400,000	39,040
2500,000	47,320
2600,000	60,000
2700,000	91,560
2800,000	148,720
2900,000	269,680
3000,000	494,520
3100,000	742,080
3200,000	898,520
3300,000	995,440
3400,000	1031,960
3500,000	1074,160
3600,000	1073,000
3700,000	1055,640
3800,000	1031,920
3900,000	937,720
4000,000	225,900
